date,tvl_usd
2025-02-24,1705041.000000
2025-02-25,1845938.000000
2025-02-26,2192399.000000
2025-02-27,2190161.000000
2025-02-28,2384289.000000
2025-03-01,2379253.000000
2025-03-02,2659008.000000
2025-03-03,2809155.000000
2025-03-04,3198941.000000
2025-03-05,4393104.000000
2025-03-06,4305210.000000
2025-03-07,3994443.000000
2025-03-08,4531851.000000
2025-03-09,5850900.000000
2025-03-10,6666128.000000
2025-03-11,5609124.000000
2025-03-12,6254819.000000
2025-03-13,6398800.000000
2025-03-14,6372163.000000
2025-03-15,7375182.000000
2025-03-16,7954914.000000
2025-03-17,7672208.000000
2025-03-18,7582400.000000
2025-03-19,8210080.000000
2025-03-20,8552226.000000
2025-03-21,7889935.000000
2025-03-22,9720516.000000
2025-03-23,10579528.000000
2025-03-24,11757308.000000
2025-03-25,14681217.000000
2025-03-26,17111882.000000
2025-03-27,14943819.000000
2025-03-28,15879143.000000
2025-03-29,17065738.000000
2025-03-30,17568916.000000
2025-03-31,18343073.000000
2025-04-01,20590671.000000
2025-04-02,22311845.000000
2025-04-03,20582727.000000
2025-04-04,21030313.000000
2025-04-05,20693558.000000
2025-04-06,20831023.000000
2025-04-07,19172084.000000
2025-04-08,27905546.000000
2025-04-09,29702489.000000
2025-04-10,35350233.000000
2025-04-11,37005411.000000
2025-04-12,40382290.000000
2025-04-13,42152327.000000
2025-04-14,40580939.000000
2025-04-15,40471538.000000
2025-04-16,39979027.000000
2025-04-17,41592344.000000
2025-04-18,45492663.000000
2025-04-19,46630086.000000
2025-04-20,49348073.000000
2025-04-21,48202354.000000
2025-04-22,48256169.000000
2025-04-23,51424425.000000
2025-04-24,51791378.000000
2025-04-25,54079427.000000
2025-04-26,53721877.000000
2025-04-27,53186607.000000
2025-04-28,56358108.000000
2025-04-29,58398770.000000
2025-04-30,61741330.000000
2025-05-01,63406816.000000
2025-05-02,66830692.000000
2025-05-03,70019785.000000
2025-05-04,71701450.000000
2025-05-05,68590125.000000
2025-05-06,72022997.000000
2025-05-07,74045750.000000
2025-05-08,74497955.000000
2025-05-09,82913523.000000
2025-05-10,89494805.000000
2025-05-11,89234782.000000
2025-05-12,86705934.000000
2025-05-13,84022502.000000
2025-05-14,86811761.000000
2025-05-15,83433580.000000
2025-05-16,89870984.000000
2025-05-17,98546036.000000
2025-05-18,93873605.000000
2025-05-19,98121100.000000
2025-05-20,99467043.000000
2025-05-21,99300623.000000
2025-05-22,109580555.000000
2025-05-23,124304238.000000
2025-05-24,123869183.000000
2025-05-25,137392026.000000
2025-05-26,146204504.000000
2025-05-27,147441345.000000
2025-05-28,145046358.000000
2025-05-29,137917362.000000
2025-05-30,130051792.000000
2025-05-31,134229363.000000
2025-06-01,133923934.000000
2025-06-02,138142402.000000
2025-06-03,151398622.000000
2025-06-04,153766226.000000
2025-06-05,149722114.000000
2025-06-06,144433217.000000
2025-06-07,142943363.000000
2025-06-08,149393005.000000
2025-06-09,151758729.000000
2025-06-10,168692688.000000
2025-06-11,175955111.000000
2025-06-12,170590802.000000
2025-06-13,157266089.000000
2025-06-14,181260339.000000
2025-06-15,174467969.000000
2025-06-16,181435866.000000
2025-06-17,186915181.000000
2025-06-18,177524804.000000
2025-06-19,173215021.000000
2025-06-20,165196353.000000
2025-06-21,149583866.000000
2025-06-22,143519011.000000
2025-06-23,152877083.000000
2025-06-24,166470261.000000
2025-06-25,154695738.000000
2025-06-26,158597621.000000
2025-06-27,160781852.000000
2025-06-28,157109798.000000
2025-06-29,164471120.000000
2025-06-30,168155768.000000
2025-07-01,185951793.000000
2025-07-02,172087661.000000
2025-07-03,177193022.000000
2025-07-04,190489288.000000
2025-07-05,182920063.000000
2025-07-06,184790064.000000
2025-07-07,189778847.000000
2025-07-08,183887888.000000
2025-07-09,182503771.000000
2025-07-10,194468219.000000
2025-07-11,203652813.000000
2025-07-12,210145107.000000
2025-07-13,210636224.000000
2025-07-14,205185345.000000
2025-07-15,205905816.000000
2025-07-16,199002992.000000
2025-07-17,215697650.000000
2025-07-18,203400777.000000
2025-07-19,192910025.000000
2025-07-20,194097918.000000
2025-07-21,203656741.000000
